sentence,frequency
এদিকে কোলে ৭ বছর বয়সের আলামিন ৪ বছরের ছোট মেয়ে শান্তনা আক্তার,1
২০০৪ সালে সময়ে স্বামীর পুরোনো ট্রাক্টর চালিয়ে মাস কাটলেও ধারের দেনা-পাওনার মারপ্যাঁচে জড়িয়ে হাতছাড়া হয়ে যায়,1
প্রতি লেনদেনে কমপক্ষে ১০০ টাকার নোট গ্রহণ আরসিডিএম,1
আরসিডিএম-এর সিটি ব্যাংকের গ্রাহকেরা বাহকের কার্ড মোবাইল অ্যাপ কোড নিয়েও ২৪ / ৭ টাকা জমা পারবেন,1
"শিগগির ভ্যাট, জমি, গাড়ি নিবন্ধনের ফিসহ সরকারি ১৯৬ ধরনের রাজস্ব ফির অর্থ জমা হবে",1
"ঢাকা কর অঞ্চল-৪-এর আওতায় যেসব ব্যক্তি কোম্পানি আয়কর জমা দেবেন, দিয়েই ঢাকা মহানগরীতে 'স্বয়ংক্রিয় চালান পদ্ধতি' বাস্তবায়নের কার্যক্রম",1
বর্তমানে বাংলাদেশ ব্যাংকের ৯ শাখা সোনালী ব্যাংকের ১ ২২৪ শাখা ট্রেজারি চালান নেয়,1
বিলিয়নিয়ারদের (১০০ কোটিতে ১ বিলিয়ন) সম্মিলিত ধনসম্পদের মূল্যমান বেড়ে ৩ দশমিক ২৩ ট্রিলিয়ন ডলার মানে ৩ লাখ ২৩ লাখে উন্নীত হয়েছে,1
"১ম পর্যায়ে বাংলাদেশ ব্যাংকের পাশাপাশি ঢাকা মহানগরীর সোনালী ব্যাংক, রূপালী, অগ্রণী জনতা ব্যাংকের শাখার চালানের অর্থ যাবে",1
"হ্যান্ড স্যানিটাইজার তৈরির কাঁচামাল, মাস্ক, সুরক্ষা পোশাকসহ ১২ ধরনের পণ্য আমদানিতে ধরনের শুল্ক-কর অব্যাহতি হয়েছে করোনার কারণে",1
গত ৩০ সেপ্টেম্বর শুল্ক-করমুক্ত আমদানি–সুবিধার মেয়াদ শেষ হয়েছিল,1
করোনাভাইরাস প্রতিরোধে সুরক্ষাসামগ্রী আমদানির শুল্কমুক্ত সুবিধার মেয়াদ ৩১ ডিসেম্বর বাড়ল,1
'১০-১০' ক্যাম্পেইন সকল তথ্য ওয়েব সাইট ফেসবুক পেজে পাওয়া যাবে,1
এবারের '১০-১০' আয়োজনে অনলাইন কেনাকাটার বিষয়ে গ্রাহকের আস্থা সুদৃঢ় মূল লক্ষ্য হয়েছে,1
বিক্রির টাকা দিয়ে ধার-দেনা শোধ বছর ঘুরতেই ২০০৬ সালে স্থানীয় কৃষি অফিসে ট্রাক্টরের আবেদন তিনি,1
গত ১৫ বছরে মেটালের আইশার ট্যাফে ব্র্যান্ডের ১৪টি ট্রাক্টর কিনেছেন পরিমল বানু,1
নিয়েছেন ২টি কম্বাইন হার্ভেস্টার,1
প্রতিবছর জাপানের ৫০টি কোম্পানি দেশে বিনিয়োগ পারে,1
"২০১৯ সাল শেষে, অর্থাৎ করোনার দারিদ্র্যের হার ১৯ শতাংশে নেমেছিল",1
"মতে, করোনায় দারিদ্র্যের হার বেড়ে ২৯ শতাংশ হয়েছে",1
"পিপিআরসি বিআইজিডির জুন মাসের এক যৌথ গবেষণায় হয়েছে, দারিদ্র্য বেড়ে ৪৩ শতাংশ হয়েছে",1
"সিপিডির দাবি, হার ৩৫ শতাংশে উন্নীত হয়েছে",1
"বাংলাদেশ পরিসংখ্যান ব্যুরোর (বিবিএস) এক জরিপে গেছে, পরিবারভিত্তিক মাসিক আয় ৪ টাকা কমে সাড়ে ১৫ টাকা হয়েছে",1
বেকারত্ব ১০ গুণ বেড়েছে,1
"সুইস ব্যাংক ইউবিএসের এক প্রতিবেদনে হয়েছে, বছরের এপ্রিল জুলাই বিশ্বের ধনী ব্যক্তিদের সম্পদ রেকর্ড সাড়ে ২৭ শতাংশ বেড়েছে",1
অর্থাৎ ১০ দশমিক ২ ট্রিলিয়ন ডলার (১ ট্রিলিয়ন=১ লাখ কোটি),1
২০১৭ সালে বিশ্বব্যাপী শেয়ারের দাম বৃদ্ধি পাওয়ায় ধনীদের সম্পদ ৮ দশমিক ৯ ট্রিলিয়ন ডলার বেড়েছিল,1
এমনকি শতকোটিপতির সংখ্যাও ২০১৭ সালের তুলনায় বেড়েছে,1
"শতকোটিপতিদের বছর সবচেয়ে লাভবান হয়েছেন শিল্পপতিরা, যাঁদের সম্পদ মে জুলাই—এই তিন মাসে ৪৪ শতাংশ বেড়েছে",1
অন্যদিকে টেক বিলিয়নিয়ারের সম্পদ বেড়েছে ৪১ শতাংশ,1
"এর গত এপ্রিলে ফোর্বসের এক প্রতিবেদনে হয়, করোনার দুঃসময়েই কিনা বিশ্বের একদল শীর্ষ ধনীর ধনসম্পদ ৩০ ৮০০ মার্কিন ডলার বেড়েছে",1
১৯৭০-এর দশকে উচ্চ মূল্যস্ফীতির হিসেবে উচ্চ পরিমাণের সরকারি ঋণকেও চিহ্নিত হয়,1
২০১৯ সালে আইএমএফের সাবেক প্রধান অর্থনীতিবিদ অলিভিয়ের ব্লানশাদ এক যুগান্তকারী বক্তৃতা দেন,1
যুক্তরাষ্ট্রের গত ৩০ বছরের নমিনাল জিডিপি প্রবৃদ্ধি বন্ডের সুদহারের চেয়ে বেশি,1
সেপ্টেম্বর মাসে বেড়ে ৫ দশমিক ৯৫ শতাংশ,1
ইতিমধ্যেই রবি-টেন মিনিট স্কুল মোবাইল অ্যাপ ১০ লাখ বারের ডাউনলোড হয়েছে,1
প্ল্যাটফর্মটির বর্তমানে ১৩ লাখের শিক্ষার্থী যুক্ত আছে,1
ঝুঁকিপূর্ণ এলাকায় ঢুকেছেন ব্যক্তিকে ২৪ ঘণ্টায় অ্যালার্টটি পাঠানো হচ্ছে,1
রবির উল্লেখযোগ্য কয়েকটি উদ্যোগ হচ্ছে—কোভিড-১৯ মোকাবিলায় উন্নত দেশেই ডেটা অ্যানালিটিকসের মতো প্রযুক্তি ব্যবহারের কথা শুনেছি,1
"ছাড়া জীবন রক্ষাকারী ওষুধ আমদানির মূল্য বাকিতে পরিশোধের সর্বোচ্চ সময় বাড়িয়ে আবারও ১৮০ হয়েছে, ৯০ দিন",1
"হয়, উৎপাদনের কাঁচামাল, কৃষি উপকরণ রাসায়নিক সার আমদানির বাকিতে মূল্য পরিশোধের আমদানিকারকেরা আবারও ৩৬০ সময় পাবেন, ১৮০ দিন",1
"বিবিএস বলছে, ২০১০-১১ ভিত্তি বছর গত আগস্ট মাসে জাতীয় মজুরি বৃদ্ধির হার ৫ দশমিক ৯১ শতাংশ",1
"টিসিবির বাজারদর অনুযায়ী, গতকাল মানভেদে কেজি পেঁয়াজের দাম ৯০ ১১০ টাকা, এক সপ্তাহ ৮০ ৯০ টাকা",1
"গত মাসে শহরে সার্বিক মূল্যস্ফীতি ৫ দশমিক ৯৮ শতাংশ, গ্রামে হার ৫ দশমিক ৯৬ শতাংশ",1
অন্যদিকে সেপ্টেম্বর মাসে খাদ্যবহির্ভূত পণ্যে মূল্যস্ফীতি কিছুটা বেড়ে ৫ দশমিক ১২ শতাংশ হয়েছে,1
সর্বশেষ গত সেপ্টেম্বর মাসে বেড়ে সাড়ে ৬ শতাংশ হয়েছে,1
"বিবিএস বলছে, মাস ধরেই খাদ্যপণ্যে মূল্যস্ফীতি ৬ শতাংশের বেশি",1
মূল্যস্ফীতির হার গত আগস্ট মাসে ৫ দশমিক ৬৮ শতাংশ জুলাই মাসে ৫ দশমিক ৫৮ শতাংশ,1
"বাংলাদেশ পরিসংখ্যান ব্যুরোর (বিবিএস) সর্বশেষ হিসাবমতে, গত সেপ্টেম্বর মাসে মাসওয়ারি ভিত্তিতে ৫ দশমিক ৯৭ শতাংশ মূল্যস্ফীতি হয়েছে",1
কোভিড-১৯ মোকাবিলায় প্রযুক্তির শক্তিকে লাগিয়ে জনসাধারণ সরকারকে সহযোগিতা প্রচেষ্টা দিনেও অব্যাহত থাকবে,1
পুকুরে হেক্টরে ৩০০-৪০০ কেজি বাগদা চিংড়ি উৎপাদন যায়,1
গত ২০১৩-১৪ অর্থবছরে ৩৪ ৭৩৩ মেট্রিক টন বাগদা ৬ ৫০৩ মেট্রিক টন গলদা চিংড়ি উৎপাদিত হয়,1
গত ২০১৮-১৯ অর্থবছরে বাগদা চিংড়ি উৎপাদন কমে ২৪ ৩৯৬ মেট্রিক টনে নেমেছে,1
গলদা চিংড়ি উৎপাদন কমে হয়েছে ৫ ১৪৬ মেট্রিক টন,1
"অন্যদিকে ২০১৩-১৪ অর্থবছরে ৫৫ ডলারের হিমায়িত চিংড়ি রপ্তানি হয়, পরের অর্থবছরে কমে ৫১ ডলারে নামে",1
সর্বশেষ ২০১৮-১৯ অর্থবছরে হিমায়িত চিংড়ি রপ্তানি হয়েছে ৩৩ ডলারের,1
মোহাম্মদ জাহাঙ্গীর ১৯৯০ সালে অফিসার হিসেবে রূপালী ব্যাংকে কর্মজীবন করেন,1
কোভিড-১৯ মোকাবিলায় বিশ্বব্যাংক সামগ্রিক দৃষ্টিকোণ করছে,1
"চরম দারিদ্র্য দূরীকরণে পৃথিবী অগ্রগতি অর্জন করেছিল, কোভিড-১৯ এক অভূতপূর্ব ধাক্কা দিয়েছে",1
"বিশ্বব্যাংকের হিসাব অনুসারে, ২০২১ সালের ১১ ১৫ মানুষ চরম দারিদ্র্যের কবলে পড়বে",1
অর্থাৎ মহামারি বিশ্বের ১ দশমিক ৪ শতাংশ মানুষকে দারিদ্র্যসীমার নিচে ঠেলে দেবে,1
"২০০৮ সালের আর্থিক সংকট এবারকার না, সেবার ক্ষতিগ্রস্ত হয়েছিল মূলত আর্থিক বাজার, ধাক্কাটা খেয়েছিল মূলত উন্নত দেশগুলো",1
কোভিড-১৯-এর উন্নয়নশীল দেশগুলোতে মানব পুঁজির উল্লেখযোগ্য বিকাশ হচ্ছিল,1
মহামারির উন্নয়নশীল দেশগুলোর ১৬০ শিশু বিদ্যালয়ে পারছে না,1
শিশুরা জীবদ্দশায় ১০ লাখ ডলারের উপার্জন বঞ্চিত পারে,1
স্বাস্থ্য সেবার ঘাটতি খাদ্য স্বল্পতার কারণে শিশু মৃত্যুহার ৪৫ শতাংশ বাড়তে পারে,1
মূল্যস্ফীতি আবারও ৬ শতাংশের কাছাকাছি গেছে,1
ভারত গত বছরের ২৯ সেপ্টেম্বর হঠাৎ পেঁয়াজ রপ্তানি বন্ধ দিলে দেশের বাজারে পেঁয়াজের দাম ঊর্ধ্বমুখী হয়,1
"বাংলাদেশের রাজস্ব-জিডিপি অনুপাত ৯ শতাংশের মতো, সম্ভব সরকার কারণেই ব্যাংক ঋণনির্ভর প্রণোদনা প্যাকেজ দিয়েছে",1
৫১ টাকা খরচ প্রকল্প বাস্তবায়ন হলো,1
সর্বশেষ গত অর্থবছরে ৭ ২০৭ সুযোগ নিয়েছেন,1
২০১৮-১৯ অর্থবছরে ৫ ৮৪৮ অনলাইনে রিটার্ন জমা দেন,1
২০১৭-১৮ অর্থবছরে ৫ হাজারের করদাতা অনলাইনে রিটার্ন দিয়েছেন,1
"পরের তিন বছর (২০১৭-১৮, ২০১৮-১৯ ২০১৯-২০ অর্থবছর) করদাতারা অনলাইনে রিটার্ন দিয়েছেন",1
২০১৬ সালের নভেম্বর মাসে তৎকালীন অর্থমন্ত্রী আবুল মাল আবদুল মুহিত রিটার্ন জমা দিয়ে অনলাইন ব্যবস্থার উদ্বোধন করেন,1
গত জুন মাসে চলতি ২০২০-২১ অর্থবছরের বাজেটে প্রথমবার অনলাইনে রিটার্ন জমা দিলে ২ টাকা করছাড় প্রদানের ঘোষণা হয়েছিল,1
৬০ দিনের নিয়ম কার্যকর পারে,1
"বাণিজ্যসচিব বলেন, ৩০০ ট্রাকের পেঁয়াজ বিক্রি হচ্ছে",1
"মার্কিন শ্রমবিভাগের পরিসংখ্যান অনুসারে, এইচ-ওয়ানবি ভিসাধারীদের দুই-তৃতীয়াংশের ভারত ১০ শতাংশের চীন আসে",1
বর্তমানে ভিসা প্রোগ্রামের আওতায় ৫ লাখ মানুষ যুক্তরাষ্ট্রে বসবাস করছেন,1
অন্যদিকে বিভাগে ২০ ভিসা হয়,1
"বিভাগে অর্থাৎ স্নাতক সমমানের ডিগ্রি আবেদন করেন, ৬৫ ভিসা",1
চাহিদার তুলনায় আবেদন জমা পড়ায় লটারির ৮৫ ভিসা নির্বাচন হয়,1
বছর ৮৫ হাজারের মানুষকে এইচ-ওয়ানবি ভিসা হয়,1
প্রতিবছর গড়ে ২২ ২৩ লাখ করদাতা রিটার্ন জমা দেন,1
অনলাইনে ১ শতাংশের কম রিটার্ন পড়েছে,1
অনলাইনে রিটার্ন জমা দেওয়ায় আগ্রহ বাড়াতে চলতি অর্থবছরে ২ টাকার করছাড় হয়,1
কর বিভাগের স্বয়ংক্রিয় ব্যবস্থা চালুর ২০১১ সালে স্ট্রেনদেনিং গভর্ন্যান্স ম্যানেজমেন্ট প্রকল্প বাস্তবায়ন এনবিআর,1
প্রকল্পে খরচ ৫৯ টাকা,1
আন্তর্জাতিক দরপত্রের ৫১ টাকায় ভিয়েতনামের কোম্পানিকে কাজটি হয়,1
২০১৬ সালেই সফটওয়্যারটি হয়,1
বেটার বাংলাদেশ ফাউন্ডেশনের (বিবিএফ) উদ্যোগে প্রবাসী সম্মেলন-২০২০ প্রধান অতিথির বক্তব্যে পরিকল্পনামন্ত্রী মন্তব্য করেন,1
গত ৪ অক্টোবর অনলাইনে সম্মেলন অনুষ্ঠিত হয়,1
গ্রামেই লুনা ত্রিপুরার (২৫) বাড়ি,1
"খরচ মাসেই লুনার ১০-১২ টাকা আয় হচ্ছে, সংসারটা মোটামুটি যাচ্ছে",1
"লুনা জানান, কোমরতাঁতে তৈরি রিনাই-রিসার কারুকাজ ভারতের আগরতলা একজন ১০ টাকায় রিনাই-রিসা কেনেন",1
বর্তমানে ১০ নারীকে দিয়ে কমিশনে কোমরতাঁতে রিনাই তৈরি করাচ্ছেন,1
লুনার অনলাইনে রিনাই-রিসা কিনেছিলেন খাগড়াছড়ি সদর উপজেলার মধুপুর এলাকার কোয়েলি ত্রিপুরা (২২),1
"একজন চরণ দেবী ত্রিপুরা (২৪) বলেন, নয়টি রিনাই-রিসা তৈরি চারটি বিক্রি করেন",1
দিনে দিনে পেঁয়াজের কেজি ১০০ টাকা ছাড়িয়েছে,1
"বাণিজ্য মন্ত্রণালয় বলেছে, ক্রেতাদের সাশ্রয়ী মূল্যে পেঁয়াজ সরবরাহের উদ্দেশ্যে বাণিজ্য মন্ত্রণালয়ের অধীন ট্রেডিং করপোরেশন অব বাংলাদেশ (টিসিবি) ৩০ টাকা কেজি দরে দেশব্যাপী ট্রাক সেল করছে",1
প্রতিটি ই-কমার্স সাইট ১০ ধরনের অফার অনলাইন গ্রাহকদের দেবে,1
দেশের ১৪টি শীর্ষস্থানীয় ই-কমার্স প্রতিষ্ঠানের যৌথ উদ্যোগে এবারের আয়োজনের আয়োজক পার্টনার ই-ক্যাব,1
"এরপর জি ২০, জি৭, প্যারিস ক্লাব ডেবট সার্ভিস সাসপেনশন ইনিশিয়েটিভের সম্মতিতে ১ মে কার্যকর হয়",1
নিলামে উঠল ২০২০ সালের অর্থনীতির নোবেল পুরস্কার—কথাটি শুনলে হয়তো অনেকের চোখ কপালে উঠবে,1
"একইসঙ্গে টেলিভিশনের ৬টি মডেল, টিভির ডিজিটাল অটো রেজিস্ট্রেশন সফটওয়্যার 'ট্যামারিন্ড ইএক্স প্রো' নামের মডেলের ল্যাপটপের উদ্বোধন করেন",1
পল মিলগ্রম স্ট্যানফোর্ড বিশ্ববিদ্যালয়ের মানবতা বিজ্ঞান বিভাগের 'শিরলি অ্যান্ড লিওনার্ড এলি প্রফেসর' পদে ১৯৮৭ সালে নিযুক্ত হন,1
এফসিসি ১৯৯৫ সালে রীতি গ্রহণ করে,1
"৯০-এর দশকে মার্কিন ফেডারেল কমিউনিকেশন কমিশন (এফসিসি) ধারা বেরিয়ে আসার তোড়জোড় করে, কংগ্রেস সায়ও দেয়",1
"সিএনএন সূত্রে যায়, ১৯৯৪ সালে মার্কিন সরকার উদ্ভাবিত রীতি অনুসারে রেডিওর তরঙ্গ নিলামে তোলে",1
বছরের নোবেল পুরস্কারের অর্থ ১১ লাখ ডলার,1
"বুড়িমারী আমদানি রপ্তানিকারক সমিতির সভাপতি পাটগ্রাম উপজেলা পরিষদের চেয়ারম্যান রুহুল আমিন বাবুল বলেন, 'করোনা সংকটের কারণে কর মওকুফসহ দাবিতে ৭২ ঘণ্টার আলটিমেটাম দিয়ে চ্যাংড়াবান্ধায় ট্রাক মালিক সমিতি ট্রাক ধর্মঘট জেনেছি",1
রয়্যাল সুইডিশ একাডেমি অব সায়েন্সেস সোমবার বাংলাদেশ সময় বেলা ৩টা ৪৫ মিনিটে অর্থনীতিতে নোবেল পুরস্কার ঘোষণা করে,1
"গতকাল সোমবার বন্দর দিয়ে গার্মেন্টস এক্সেসরিজ ঝুট সামগ্রী, আরএফএলের প্লাস্টিকপণ্য প্রাণের বোতলজাত খাদ্যপণ্য ২৩টি ট্রাক বাংলাদেশ ভারতে গেছে",1
বন্দর কর্তৃপক্ষ ২৫ ২৬ লাখ টাকার রাজস্ব আদায় থাকে,1
বুড়িমারী শুল্ক স্থলবন্দর দিয়ে ভারত ভুটান প্রতিদিন আমদানি পণ্যবাহী গড়ে ৩৫০টি ট্রাক বাংলাদেশে ঢোকে,1
কর মওকুফসহ দাবিতে ৭২ ঘণ্টার আলটিমেটাম দিয়ে গতকাল সোমবার সকাল চ্যাংড়াবান্ধা শুল্ক স্থলবন্দরে ট্রাক পরিবহন ধর্মঘট ভারতের পশ্চিমবঙ্গের চ্যাংড়াবাবান্ধা ট্রাক ওনার্স অ্যাসোসিয়েশন,1
অন্যদিকে ২০-৩০ বছর বয়সী মানুষের আয় কমেছে ৫ শতাংশ ষাটোর্ধ্ব কর্মক্ষম মানুষের আয় কমেছে শূন্য দশমিক ৭ শতাংশ,1
অর্থাৎ মানুষের আয় কমেছে ৭ দশমিক ২ শতাংশ,1
"রপ্তানিমুখী শিল্প প্রতিষ্ঠানের প্রযুক্তিগত উন্নয়ণ অগ্রগতি, বিশ্বমানের উৎপাদন প্রক্রিয়া পণ্যের উন্নয়ন গুণগতমান সরেজমিনে পর্যবেক্ষণ ৩ অক্টোবর ওয়ালটন কারখানা পরিদর্শন এনবিআর চেয়ারম্যান",1
১৯৬৯ সাল অর্থনীতিতে নোবেল পুরস্কার প্রদান হচ্ছে,1
ছাড়া ভিভো ভি২০তে ৬৪ মেগাপিক্সেলের নাইট রিয়ার ক্যামেরাও,1
লেনদেন ৮৭৫ ১০ লাখ টাকা,1
"বলেন, 'নতুন কারখানার ঋণ পেতে ১২০ সকাল বিকেল ব্যাংকে থেকেছি",1
প্রাণের সাড়ে তিন টাকা রপ্তানি আয়ের ৬ শতাংশ আসে আফ্রিকার দেশগুলো থেকে,1
১৯৮১ সালে আমজাদ খান চৌধুরীর হাতে প্রাণ-আরএফএলের যাত্রা হয়,1
"অপরদিকে সিএসইতে বেলা ১টা হাত বদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ৪২টির, কমেছে ১৭০টির অপরিবর্তিত ২৪টির দর",1
"হাত বদল হওয়া শেয়ার মিউচুয়াল ফান্ডের দর বেড়েছে ৬৪টির, কমেছে ২৩২টির অপরিবর্তিত ৫৫টির দর",1
বেলা ১টা ডিএসইতে লেনদেন হয়েছে ৪১৭ ৬৮ লাখ টাকার,1
লেনদেন শেষে ডিএসইএক্স ৫৮ পয়েন্ট কমে অবস্থান ৪ ৮৫৮ পয়েন্টে,1
২০১৯ সাল ৮৪ পুরস্কার পেয়েছেন,1
অপর শেয়ারবাজার চট্টগ্রাম স্টক এক্সচেঞ্জে (সিএসই) সার্বিক সূচক সিএএসপিআই কমেছে ১২৮ পয়েন্ট,1
সোমবার সপ্তাহের দ্বিতীয় কার্যদিবস বেলা ১টা দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের (ডিএসই) প্রধান সূচক ডিএসইএক্স কমেছে ৪১ পয়েন্ট,1
হারভেস্টারের দাম ৩০ লাখ টাকার রাখবে এসিআই,1
"সরকার কৃষির যান্ত্রিকীকরণে তিন টাকার প্রকল্প নিয়েছে উল্লেখ সুব্রত রঞ্জন বলেন, প্রযুক্তির হারভেস্টারটি কিনতে হাওরে ৭০ শতাংশ এলাকায় ৫০ শতাংশ ভর্তুকি পাওয়া যাবে",1
"চারা রোপণের ২ শতাংশ শস্য কর্তন, মাড়াই বস্তা ভরার যান্ত্রিকীকরণ ৫ শতাংশ",1
"বাংলাদেশ কৃষি বিশ্ববিদ্যালয়ের (বিএইউ) গবেষণা অনুযায়ী, কৃষিযন্ত্রের বাজারের প্রবৃদ্ধি বছরে ২০ শতাংশের কাছাকাছি",1
গবেষণায় উঠে আসে ৩০ ৩৯ বছর বয়সী লোকজন ২০০৮ সালে বয়সী মানুষের চেয়ে বছরে ২ ১০০ পাউন্ড কম আয় করছেন,1
"'এর গত মাসে আইএফএসের গবেষণায় হয়, গড়ে যুক্তরাজ্যের মানুষের বার্ষিক প্রকৃত মজুরি এক দশকের আগের তুলনায় ৮০০ পাউন্ড কমেছে",1
কেবল জুলাইয়ে সরকার ২ ৬৭০ পাউন্ড ঋণ নেয়,1
"উবারের জন্ম হয়েছিল ২০০৮ সালে, প্যারিসে",1
অ্যাপটি বিশ্বের ১২০ মিলিয়ন মানুষ কর্মী ৪০০ জন,1
২০১০ সালে তৈরি ইনস্টাগ্রাম,1
"২০২০ সালে ১ দশমিক ৩ বিলিয়ন মানুষ হোয়াটসঅ্যাপ করছেন, কোম্পানিটির আয় বছরে ৫ বিলিয়ন মার্কিন ডলার",1
২০০৯ সালে হোয়াটসঅ্যাপ তৈরি হয়,1
পদ্ধতিতে মানুষ এতই সুবিধা খুঁজে পায় উবার ৪৭ বিলিয়ন মার্কিন ডলারের কোম্পানি,1
কম খরচাই ২০০৮–এর মন্দায় মানুষ লুফে নেয়,1
সাফল্যের পেছনে অনেকটাই কৃতিত্ব ২০০৮ সালের মহামন্দাকে,1
গত বছরের জুলাই চলতি বছরের জুলাই ঋণের বোঝায় যোগ হয়েছে ২২ ৭৬০ পাউন্ড,1
প্রায় ১২ বছর এয়ারবিএনবি ৩১ বিলিয়ন ডলারের কোম্পানি,1
রুমমেট জোয়ি গ্যাবিয়া ব্র্যায়েন চেসক্রি ২০০৭ সালে সান ফ্রান্সিসকোতে বাতাস দিয়ে ফোলানো বিছানা সকালের নাশতার সেবা দিয়ে উদ্যোগটি,1
"এমনকি ২০০৮ সালের মহামন্দাতেই অনেকগুলো উদ্যোগ তৈরি হয়েছে, বিশ্বের অন্যতম গুরুত্বপূর্ণ ব্যবসা হিসেবে পরিচিত",1
ছাড়া সারা বিশ্বের গড় জিডিপি প্রবৃদ্ধি মাইনাস ৪ দশমিক ৪ শতাংশ হওয়ার পূর্বাভাস দিয়েছে দাতা সংস্থাটি,1
দক্ষিণ এশিয়ার দেশগুলোর ভারতের প্রবৃদ্ধি মাইনাস ১০ দশমিক ৩ শতাংশ পারে,1
বড় অর্থনীতির দেশগুলোর একমাত্র চীনের প্রবৃদ্ধি ১ দশমিক ৯ শতাংশ পারে,1
প্রতিষ্ঠানটিও তৈরি ২০১০ সালে অর্থনীতিতে মন্দাতেই ছিল,1
ছোট ছোট টোটকা ভাগ অ্যাপটি মানুষের জীবন সহজতর করায় ৩০০ মিলিয়ন মানুষ করছে,1
কোম্পানিটির বাজারমূল্য ৮ দশমিক ৬ বিলিয়ন মার্কিন ডলার,1
গতকাল সোমবার (১২ অক্টোবর) ইউসিবি তাকওয়ার আনুষ্ঠানিক উদ্বোধন ভূমিমন্ত্রী সাইফুজ্জামান চৌধুরী,1
ভারতের মুর্শিদাবাদের মায়া বাংলাদেশের রাজশাহীর গোদাগাড়ী ১৮ কিলোমিটারের নৌপথ শিগগিরই হচ্ছে,1
বিআইডব্লিউটিএর চেয়ারম্যান বেলা সোয়া ১১টা দুপুর সাড়ে ১২টা নৌপথ সরেজমিনে দেখেন,1
এদিকে রাজশাহী পশ্চিমবঙ্গের মুর্শিদাবাদের ধুলিয়ান ৭৮ কিলোমিটারের নৌপথের অনুমোদন থাকলেও কার্যকর নেই,1
পথের দূরত্ব ১৮ কিলোমিটার,1
শুষ্ক মৌসুমে নৌযানে ২০০-৩০০ টন পণ্য পরিবহন যাবে,1
"বেসামরিক বিমান চলাচল কর্তৃপক্ষের (বেবিচক) চেয়ারম্যান এয়ারভাইস মার্শাল মো. মফিদুর রহমান মঙ্গলবার আলোকে বলেন, 'আমরা এখান ২৮টি ফ্লাইট পরিচালনা কথা বলেছি",1
"শেষ ২৮টি, তাদেরও ২৮টি ৫৬ ফ্লাইট পরিচালনা বিষয়ে দেশের সিভিল এভিয়েশনই রাজি হয়েছে",1
২৮টি ফ্লাইটে ৫ যাত্রী পরিবহন যাবে,1
দেশ ২৮ ফ্লাইটে ৫ যাত্রী আসতে পারবেন,1
বছরের দ্বিতীয় প্রান্তিকে দেশটির অর্থনীতি ২০ দশমিক ৪ শতাংশ সংকুচিত হয়েছে,1
অর্থনীতিতে ২০০ বিলিয়ন ডলার প্রণোদনা দিয়েছে সরকার,1
"সংস্থাটি বলছে, বছরের মার্চে ২০১৪-২৫ সালে প্রত্যাশা হয়েছিল, অর্থনীতি ৫ শতাংশ সংকুচিত হবে",1
২০২৫ সালের ঋণ জিডিপির ১১০ শতাংশে পৌঁছে যাবে,1
"১৯৮১ সালে, ৪২ বছর বয়সে",1
"১৯৮৫ সালে প্রতিষ্ঠিত অ্যাগ্রিকালচারাল মার্কেটিং কোম্পানি লিমিডেট, প্রাণ",1
১৯৯৭ সালে ফ্রান্সে কৌটায় আনারস রপ্তানি প্রাণের রপ্তানি শুরু,1
করোনাভাইরাসের কারণে প্রধানত পোশাক খাতের শ্রমিকদের বেতন-মজুরি নামমাত্র সুদে ১০ ৫০০ টাকা ঋণ দিয়েছে সরকার,1
ভারতের পশ্চিমবঙ্গে শনিবার আসছে ২০০ টন ইলিশ,1
কার্যক্রমটি হওয়ার চুনারুঘাট উপজেলাতে উদ্যোগের ২ ৬০০ রোগীকে চিকিৎসা প্রদান হয়েছে,1
সুবিধাবঞ্চিত এসব মানুষের কথা চিন্তা স্বাস্থ্যসেবা জনগণের দোরগোড়ায় পৌঁছে দেওয়ার স্যাভলন বেসরকারি সংস্থা আগ্রহের উদ্যোগে গত ১৫ আগস্ট হয়েছে স্যাভলন মোবাইল হাসপাতাল,1
"বেপজার মহাব্যবস্থাপক (জনসংযোগ) নাজমা বিনতে আলমগীর বলেন, 'এ টাইপ কারখানাগুলোরও ১ শতাংশ সহায়তা পাওয়া উচিত",1
২০১৯-২০ অর্থবছরে টাইপ প্রতিষ্ঠান ২ ৬৩ লাখ ৭০ মার্কিন ডলার টাইপ প্রতিষ্ঠান ৩১ লাখ ২০ ডলারের সমান পণ্য রপ্তানি বিজিএমইএর চিঠিতে উল্লেখ হয়,1
"সংকটময় পরিস্থিতি উত্তরণে রপ্তানি প্রক্রিয়াকরণ অঞ্চল (ইপিজেড) অর্থনৈতিক অঞ্চলের (ইজেড) টাইপ টাইপ প্রতিষ্ঠানের ১ শতাংশ নগদ সহায়তা দরকার, ইইউসহ যুক্তরাষ্ট্র, কানাডায় পোশাক রপ্তানি থাকে",1
উৎসে কর ১ শতাংশ কমিয়ে দশমিক ৫ শতাংশ,1
কোভিড-১৯ বিধিনিষেধ আরোপের কারণে মাসগুলোতে অর্থনীতি সংকুচিত আশঙ্কা বিশ্লেষকেরা,1
